                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.85264,                0.54783,                0.89236,                 0.8857,                0.30949,                0.40914,                0.28628,                    nan,                    nan,                    nan,             0.00082775,             0.00082775,             0.00082775
                     87,                0.87465,                0.56775,                0.90072,                0.82724,                0.31711,                0.40417,                 0.2855,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     88,                0.87298,                0.56521,                 0.9026,                0.83076,                0.31264,                0.38158,                0.27296,                    nan,                    nan,                    nan,              0.0008136,              0.0008136,              0.0008136
                     89,                 0.8545,                0.55251,                 0.8969,                0.78918,                0.30399,                0.41007,                0.29305,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     90,                0.83808,                0.52952,                0.89804,                0.89524,                0.29096,                0.40064,                0.27099,                    nan,                    nan,                    nan,             0.00079945,             0.00079945,             0.00079945
                     91,                0.91996,                0.56086,                0.91334,                0.82703,                0.31342,                0.40966,                0.28598,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     92,                 0.8481,                0.56016,                0.90165,                0.81871,                0.29952,                0.39768,                0.28259,                    nan,                    nan,                    nan,             0.00078531,             0.00078531,             0.00078531
                     93,                0.80319,                0.52186,                0.88881,                0.90995,                0.29663,                0.41102,                0.30156,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     94,                0.85731,                0.53951,                0.88925,                0.88656,                0.31673,                0.42287,                0.29869,                    nan,                    nan,                    nan,             0.00077116,             0.00077116,             0.00077116
                     95,                0.82002,                0.51707,                0.88386,                0.94213,                0.30482,                0.37925,                0.27175,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     96,                0.86323,                 0.5447,                0.89763,                0.87292,                0.30354,                0.39223,                0.27708,                    nan,                    nan,                    nan,             0.00075701,             0.00075701,             0.00075701
                     97,                0.80372,                 0.5217,                0.88236,                0.88623,                 0.3102,                0.38595,                0.28328,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     98,                0.84761,                0.53007,                0.88651,                0.82553,                0.30442,                0.41081,                0.29544,                    nan,                    nan,                    nan,             0.00074287,             0.00074287,             0.00074287
                     99,                0.82709,                0.52461,                0.88959,                0.87774,                0.30753,                0.40966,                0.30028,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                    100,                0.79346,                0.52035,                0.89239,                0.86237,                0.30266,                0.40549,                 0.2982,                    nan,                    nan,                    nan,             0.00072872,             0.00072872,             0.00072872
                    101,                 0.8004,                0.52373,                0.88468,                0.88256,                0.31389,                0.41054,                0.30292,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                    102,                0.80359,                0.51923,                0.88679,                0.81672,                 0.2833,                0.33407,                0.24339,                    nan,                    nan,                    nan,             0.00071457,             0.00071457,             0.00071457
                    103,                0.79913,                0.52719,                0.89522,                0.85296,                0.31686,                0.42081,                0.31032,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
