                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.62458,                0.40334,                0.87868,                0.91077,                0.20495,                0.36184,                 0.2896,                    nan,                    nan,                    nan,              0.0010583,              0.0010583,              0.0010583
                    133,                 0.6648,                0.42826,                0.86778,                0.90446,                0.19922,                0.36654,                0.28594,                    nan,                    nan,                    nan,              0.0010555,              0.0010555,              0.0010555
                    134,                0.67505,                0.43905,                 0.8837,                0.87354,                0.20579,                0.32623,                 0.2539,                    nan,                    nan,                    nan,              0.0010527,              0.0010527,              0.0010527
                    135,                0.65191,                0.44056,                0.89545,                0.90608,                0.20167,                0.42395,                0.33331,                    nan,                    nan,                    nan,              0.0010499,              0.0010499,              0.0010499
                    136,                0.62938,                0.43506,                0.88177,                0.92425,                0.20317,                0.39186,                 0.3143,                    nan,                    nan,                    nan,               0.001047,               0.001047,               0.001047
                    137,                0.65324,                0.45216,                 0.8848,                0.91668,                0.20483,                0.34836,                 0.2725,                    nan,                    nan,                    nan,              0.0010442,              0.0010442,              0.0010442
                    138,                0.65848,                0.44232,                0.88209,                0.92696,                 0.2029,                0.39695,                0.31671,                    nan,                    nan,                    nan,              0.0010414,              0.0010414,              0.0010414
                    139,                0.67563,                0.43328,                0.88425,                0.89439,                0.20483,                0.38355,                0.30376,                    nan,                    nan,                    nan,              0.0010385,              0.0010385,              0.0010385
                    140,                0.65732,                 0.4375,                0.87808,                0.89066,                0.20827,                0.40157,                0.31726,                    nan,                    nan,                    nan,              0.0010357,              0.0010357,              0.0010357
                    141,                0.66719,                0.43488,                0.88652,                0.91297,                0.20098,                0.28341,                0.22356,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                    142,                0.65611,                0.41212,                0.87311,                0.86395,                0.20579,                0.37827,                0.30345,                    nan,                    nan,                    nan,              0.0010301,              0.0010301,              0.0010301
                    143,                0.63159,                0.40999,                0.88181,                0.92211,                0.20429,                0.38483,                0.30505,                    nan,                    nan,                    nan,              0.0010272,              0.0010272,              0.0010272
                    144,                0.63409,                0.41922,                0.87326,                0.87451,                0.20736,                0.41272,                0.32718,                    nan,                    nan,                    nan,              0.0010244,              0.0010244,              0.0010244
                    145,                0.63104,                0.42326,                0.87726,                0.95676,                0.20098,                0.27504,                0.20928,                    nan,                    nan,                    nan,              0.0010216,              0.0010216,              0.0010216
